video,frames,fps_promedio,fps_min,fps_max,confianza_promedio,rostros_por_frame,inferencia_promedio_ms
video_corto_prueba.mp4,191,27.38,3.81,30.59,0.856,1.0,37.79
video_prueba_taco.mp4,249,23.93,18.8,25.83,0.878,1.0,41.88
